BookingID,hotel,booking_status,lead_time,arrival_year,arrival_month,arrival_date_week_number,arrival_day,no_of_weekend_nights,no_of_week_nights,no_of_adults,no_of_children,babies,type_of_meal_plan,country,market_segment_type,distribution_channel,room_type_reserved,assigned_room_type,booking_changes,deposit_type,agent,customer_type,avg_price_per_room,required_car_parking_space,no_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card,arrival_date,"Total Guests",empID
225,"Resort Hotel",0,96,2015,7,28,8,2,5,2,0,0,"Bed and Breakfass",GBR,"Online TA",TA/TO,E,F,0,"No Deposit",240,Transient,107,0,1,Check-Out,2015-07-15,"Mr. Ryan Wright",MWright51@aol.com,322-031-8553,************7002,2015-07-08,2,225
226,"Resort Hotel",0,394,2015,7,28,8,2,5,2,0,0,"Half Board",GBR,"Offline TA/TO",TA/TO,D,D,0,"No Deposit",40,Contract,89.68,0,0,Check-Out,2015-07-15,"William Duncan",William.Duncan26@hotmail.com,258-818-1494,************8367,2015-07-08,2,226
227,"Resort Hotel",0,33,2015,7,28,8,2,5,2,0,0,"Half Board",PRT,"Online TA",TA/TO,E,E,0,"No Deposit",240,Transient,155,0,0,Check-Out,2015-07-15,"Jonathan Kelly",Kelly_Jonathan@zoho.com,818-429-6070,************9034,2015-07-08,2,227
228,"Resort Hotel",0,82,2015,7,28,8,2,6,3,0,0,"Bed and Breakfass",IRL,Direct,Direct,A,A,0,"No Deposit",250,Transient,112,0,1,Check-Out,2015-07-16,"Erik Young",EYoung@gmail.com,861-177-8420,************1904,2015-07-08,3,228
229,"Resort Hotel",0,100,2015,7,28,8,2,7,3,0,0,"Bed and Breakfass",DNK,"Online TA",TA/TO,E,E,1,"No Deposit",240,Transient-Party,130.1,0,3,Check-Out,2015-07-17,"Brittany Smith",BSmith32@yandex.com,808-777-1340,************5801,2015-07-08,3,229
230,"Resort Hotel",0,100,2015,7,28,8,2,7,2,0,0,"Bed and Breakfass",DNK,"Online TA",TA/TO,E,E,0,"No Deposit",240,Transient-Party,100.1,0,2,Check-Out,2015-07-17,"Jennifer Oliver",Jennifer.Oliver@outlook.com,400-377-8953,************3905,2015-07-08,2,230
231,"Resort Hotel",0,17,2015,7,28,9,0,1,2,2,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,C,C,0,"No Deposit",242,Transient,123,0,3,Check-Out,2015-10-07,"Jennifer Cunningham",Jennifer.Cunningham@comcast.net,410-916-8076,************9435,2015-07-09,4,231
232,"Resort Hotel",0,68,2015,7,28,9,0,2,3,0,0,"Bed and Breakfass",ARG,Direct,Direct,A,C,0,"No Deposit",250,Transient,124,1,1,Check-Out,2015-11-07,"Judy Lucero",Judy.Lucero94@protonmail.com,810-207-7781,************5499,2015-07-09,3,232
233,"Resort Hotel",0,12,2015,7,28,9,0,2,2,2,0,"Bed and Breakfass",PRT,Direct,Direct,H,G,2,"No Deposit",0,Transient,146,1,0,Check-Out,2015-11-07,"Stephanie Mccoy",Mccoy_Stephanie@zoho.com,856-389-4559,************8631,2015-07-09,4,233
234,"Resort Hotel",1,77,2015,7,28,9,0,3,2,0,0,"Bed and Breakfass",PRT,Direct,Direct,D,D,0,"No Deposit",250,Transient,97,0,0,Canceled,2015-02-06,"Amy Lee",AmyLee70@att.com,487-969-0276,************9252,2015-07-09,2,234
235,"Resort Hotel",1,24,2015,7,28,9,0,3,2,2,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,C,C,0,"No Deposit",242,Transient,123,0,1,Canceled,2015-06-16,"Phyllis Dunn",PDunn@aol.com,323-363-3142,************2897,2015-07-09,4,235
236,"Resort Hotel",1,44,2015,7,28,9,0,3,2,2,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,G,G,0,"No Deposit",240,Transient,153,0,0,Canceled,2015-06-16,"Joseph Nichols",Joseph.N@yahoo.com,356-443-7988,************1886,2015-07-09,4,236
237,"Resort Hotel",0,78,2015,7,28,9,0,3,2,0,1,"Bed and Breakfass",PRT,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,82,0,2,Check-Out,2015-12-07,"Robert Gonzalez",RobertGonzalez@hotmail.com,313-497-8939,************8826,2015-07-09,2,237
238,"Resort Hotel",1,17,2015,7,28,9,1,3,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,105.08,0,0,Canceled,2015-06-23,"Jenna Castillo",Castillo.Jenna@yahoo.com,928-974-9546,************5866,2015-07-09,2,238
239,"Resort Hotel",1,103,2015,7,28,9,1,3,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,65.42,0,0,Canceled,2015-06-27,"Karen Harris",Karen_H@protonmail.com,792-593-6138,************4088,2015-07-09,2,239
240,"Resort Hotel",0,16,2015,7,28,9,1,3,1,0,0,"Bed and Breakfass",RUS,Direct,Direct,A,A,0,"No Deposit",250,Transient,98,0,1,Check-Out,2015-07-13,"Kristen Williams",Kristen.Williams@protonmail.com,421-586-4415,************2999,2015-07-09,1,240
241,"Resort Hotel",0,14,2015,7,28,9,2,3,2,0,0,"Bed and Breakfass",SWE,"Online TA",TA/TO,A,A,0,"No Deposit",241,Transient,75.46,1,1,Check-Out,2015-07-14,"Bradley Dickson",Dickson_Bradley@yahoo.com,189-235-1026,************6371,2015-07-09,2,241
242,"Resort Hotel",0,77,2015,7,28,9,2,3,2,0,0,"Bed and Breakfass",POL,"Offline TA/TO",TA/TO,A,A,0,"No Deposit",177,Transient,65.5,0,0,Check-Out,2015-07-14,"Rodney Ford",RodneyFord39@mail.com,217-265-5429,************5853,2015-07-09,2,242
243,"Resort Hotel",0,90,2015,7,28,9,2,5,2,0,0,"Bed and Breakfass",FRA,"Offline TA/TO",TA/TO,A,D,0,"No Deposit",6,Transient,90.95,0,0,Check-Out,2015-07-16,"Christopher Giles",CGiles29@comcast.net,384-250-2031,************8657,2015-07-09,2,243
244,"Resort Hotel",0,90,2015,7,28,9,2,5,2,0,0,"Bed and Breakfass",GBR,"Offline TA/TO",TA/TO,A,A,0,"No Deposit",40,Contract,93.6,0,0,Check-Out,2015-07-16,"Tracy Escobar",Tracy.Escobar85@gmail.com,633-436-5830,************9203,2015-07-09,2,244
245,"Resort Hotel",0,90,2015,7,28,9,2,5,2,0,0,"Bed and Breakfass",GBR,"Offline TA/TO",TA/TO,E,E,0,"No Deposit",143,Contract,119.25,0,0,Check-Out,2015-07-16,"Tracy Johnson",TJohnson85@hotmail.com,544-165-5069,************1563,2015-07-09,2,245
246,"Resort Hotel",0,366,2015,7,28,9,2,5,2,0,0,"Half Board",GBR,"Offline TA/TO",TA/TO,E,E,0,"No Deposit",40,Contract,134.73,0,0,Check-Out,2015-07-16,"Mark Cox MD",MarkMD62@mail.com,515-974-2223,************8211,2015-07-09,2,246
247,"Resort Hotel",0,249,2015,7,28,9,2,5,2,0,0,"Half Board",PRT,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,112,0,1,Check-Out,2015-07-16,"Brooke Martin",BMartin@aol.com,188-464-0257,************4539,2015-07-09,2,247
248,"Resort Hotel",1,69,2015,7,28,9,2,6,2,0,0,"Half Board",PRT,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,118.13,0,2,Canceled,2015-05-13,"Victoria Vargas",Vargas.Victoria86@mail.com,157-480-0120,************4334,2015-07-09,2,248
249,"Resort Hotel",0,10,2015,7,28,10,0,1,2,0,0,"Bed and Breakfass",USA,Direct,Direct,A,A,0,"No Deposit",250,Transient,131,0,0,Check-Out,2015-11-07,"Amanda Johnson",Amanda_Johnson30@att.com,660-317-3148,************7967,2015-07-10,2,249
250,"Resort Hotel",0,22,2015,7,28,10,0,2,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,88.2,0,0,Check-Out,2015-12-07,"Kevin Wu",Kevin.Wu@xfinity.com,841-768-8185,************7687,2015-07-10,2,250
251,"Resort Hotel",0,91,2015,7,28,10,0,2,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,73.8,0,1,Check-Out,2015-12-07,"Thomas Johnson",TJohnson28@mail.com,366-028-0992,************3010,2015-07-10,2,251
252,"Resort Hotel",0,23,2015,7,28,10,0,2,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,98,0,0,Check-Out,2015-12-07,"Jamie Smith",JSmith@gmail.com,657-992-2925,************1377,2015-07-10,2,252
253,"Resort Hotel",0,11,2015,7,28,10,0,2,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,110.5,0,1,Check-Out,2015-12-07,"Brianna Montgomery",Montgomery.Brianna@xfinity.com,720-949-2293,************9305,2015-07-10,2,253
254,"Resort Hotel",0,3,2015,7,28,10,0,2,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,131,0,1,Check-Out,2015-12-07,"Marie Sullivan",MarieSullivan@yahoo.com,514-614-7652,************5579,2015-07-10,2,254
255,"Resort Hotel",0,13,2015,7,28,10,0,2,2,1,0,"Half Board",PRT,"Online TA",TA/TO,G,G,2,"No Deposit",240,Transient,185,1,1,Check-Out,2015-12-07,"Aaron Miller",Aaron_Miller@hotmail.com,172-367-8367,************5513,2015-07-10,3,255
256,"Resort Hotel",0,108,2015,7,28,10,0,2,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,D,D,1,"No Deposit",240,Transient,87.3,0,2,Check-Out,2015-12-07,"Roy Murphy",RMurphy52@yahoo.com,231-300-5662,************7716,2015-07-10,2,256
257,"Resort Hotel",0,91,2015,7,28,10,0,2,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,73.8,0,1,Check-Out,2015-12-07,"Catherine Chan DDS",Catherine_DDS@comcast.net,289-972-2718,************3929,2015-07-10,2,257
258,"Resort Hotel",0,37,2015,7,28,10,1,2,2,0,0,"Bed and Breakfass",GBR,"Online TA",TA/TO,C,C,0,"No Deposit",105,Transient,120,0,1,Check-Out,2015-07-13,"Amy Khan",Amy.Khan@zoho.com,525-397-8737,************7377,2015-07-10,2,258
259,"Resort Hotel",0,21,2015,7,28,10,1,2,2,0,0,"Bed and Breakfass",AUS,Direct,Direct,A,C,0,"No Deposit",250,Transient,98,0,1,Check-Out,2015-07-13,"Joshua Sullivan",Joshua_Sullivan@comcast.net,151-760-5294,************5389,2015-07-10,2,259
260,"Resort Hotel",0,106,2015,7,28,10,1,2,2,0,0,"Bed and Breakfass",GBR,"Online TA",TA/TO,E,E,0,"No Deposit",240,Transient,96.3,0,2,Check-Out,2015-07-13,"Brooke Mccarty",Brooke.Mccarty@protonmail.com,679-028-8706,************9589,2015-07-10,2,260
261,"Resort Hotel",0,30,2015,7,28,10,2,2,2,0,0,"Full Board",PRT,Direct,Direct,F,F,0,"No Deposit",0,Transient-Party,197,0,1,Check-Out,2015-07-14,"Kelsey Herman",Herman.Kelsey34@mail.com,975-614-7112,************1538,2015-07-10,2,261
262,"Resort Hotel",0,30,2015,7,28,10,2,2,2,0,0,"Full Board",PRT,Direct,Direct,F,F,0,"No Deposit",0,Transient-Party,197,0,1,Check-Out,2015-07-14,"Dakota Ponce",DakotaPonce45@yandex.com,909-908-7981,************6436,2015-07-10,2,262
263,"Resort Hotel",1,51,2015,7,28,10,2,3,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,E,E,0,"No Deposit",240,Transient,123,0,0,Canceled,2015-06-29,"Dawn Frost",Frost.Dawn@verizon.com,335-002-8727,************8391,2015-07-10,2,263
264,"Resort Hotel",0,79,2015,7,28,10,2,3,2,0,0,"Bed and Breakfass",POL,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,82,0,2,Check-Out,2015-07-15,"Cynthia Meadows",CMeadows@hotmail.com,479-770-5950,************3037,2015-07-10,2,264
265,"Resort Hotel",0,21,2015,7,28,10,2,3,2,0,2,"Half Board",PRT,Direct,Direct,C,C,1,"No Deposit",250,Transient,165,1,3,Check-Out,2015-07-15,"Patrick Wood",Patrick.W@mail.com,595-110-6891,************3555,2015-07-10,2,265
266,"Resort Hotel",0,35,2015,7,28,10,2,3,2,2,0,"Bed and Breakfass",EST,"Online TA",TA/TO,G,G,0,"No Deposit",240,Transient,149.4,0,0,Check-Out,2015-07-15,"Patricia Green",Green.Patricia@aol.com,554-568-3298,************9086,2015-07-10,4,266
267,"Resort Hotel",0,78,2015,7,28,10,2,5,2,0,0,"Half Board",PRT,"Online TA",TA/TO,A,A,1,"No Deposit",240,Transient,106.84,1,2,Check-Out,2015-07-17,"Diane Brown",Diane_B@xfinity.com,775-172-3008,************8666,2015-07-10,2,267
268,"Resort Hotel",0,31,2015,7,28,10,2,5,2,0,0,"Half Board",PRT,Direct,Direct,D,D,1,"No Deposit",250,Transient,161,1,1,Check-Out,2015-07-17,"Michael Gibson",MGibson36@hotmail.com,251-345-2664,************2795,2015-07-10,2,268
269,"Resort Hotel",0,78,2015,7,28,10,2,5,2,0,0,"Half Board",PRT,"Online TA",TA/TO,D,D,1,"No Deposit",240,Transient,134.43,0,2,Check-Out,2015-07-17,"Christopher Daniel",Christopher_D99@yahoo.com,489-846-4333,************7831,2015-07-10,2,269
270,"Resort Hotel",0,78,2015,7,28,10,2,5,2,0,0,"Half Board",PRT,"Online TA",TA/TO,E,E,1,"No Deposit",240,Transient,144.43,1,2,Check-Out,2015-07-17,"Brandon Beck",Brandon_B51@xfinity.com,342-274-5500,************3383,2015-07-10,2,270
271,"Resort Hotel",0,44,2015,7,28,10,2,5,1,0,0,"Half Board",RUS,"Offline TA/TO",TA/TO,E,E,2,"No Deposit",244,Transient,152,0,0,Check-Out,2015-07-17,"Jesse Salazar",Jesse.S@yandex.com,636-161-4607,************7184,2015-07-10,1,271
272,"Resort Hotel",0,34,2015,7,28,10,2,5,2,1,0,"Half Board",GBR,"Online TA",TA/TO,F,F,0,"No Deposit",241,Transient,125.54,0,3,Check-Out,2015-07-17,"Faith Davis",FaithDavis@yahoo.com,400-009-5678,************5276,2015-07-10,3,272
273,"Resort Hotel",0,87,2015,7,28,10,2,5,2,1,1,"Full Board",PRT,"Offline TA/TO",TA/TO,C,C,0,"No Deposit",5,Transient,133.83,0,2,Check-Out,2015-07-17,"Richard Ferguson",RFerguson@protonmail.com,907-285-6596,************2049,2015-07-10,3,273
274,"Resort Hotel",0,11,2015,7,28,10,2,6,3,1,0,"Bed and Breakfass",PRT,Direct,Direct,C,C,0,"No Deposit",250,Transient,159.75,1,0,Check-Out,2015-07-18,"Jimmy Burch",Jimmy.Burch21@yahoo.com,845-796-0670,************6133,2015-07-10,4,274
275,"Resort Hotel",0,115,2015,7,28,10,2,7,2,0,0,"Bed and Breakfass",IRL,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,120.6,0,2,Check-Out,2015-07-19,"Kyle Singh",Singh_Kyle@hotmail.com,534-089-2176,************9515,2015-07-10,2,275
276,"Resort Hotel",0,86,2015,7,28,10,3,7,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,D,D,0,"No Deposit",240,Transient,112.2,0,0,Check-Out,2015-07-20,"Tammy Hill",Hill_Tammy@zoho.com,296-377-6859,************8672,2015-07-10,2,276
277,"Resort Hotel",0,41,2015,7,28,10,4,7,2,0,1,"Bed and Breakfass",GBR,"Online TA",TA/TO,F,F,0,"No Deposit",241,Transient,110.6,0,0,Check-Out,2015-07-21,"Teresa Parrish",Parrish_Teresa@gmail.com,999-248-4556,************7710,2015-07-10,2,277
278,"Resort Hotel",0,32,2015,7,28,10,4,9,2,0,0,"Bed and Breakfass",DNK,"Online TA",TA/TO,C,C,0,"No Deposit",241,Transient,105.9,0,0,Check-Out,2015-07-23,"Mrs. Shannon Riggs",Riggs.Mrs.@mail.com,811-761-4010,************1148,2015-07-10,2,278
279,"Resort Hotel",0,34,2015,7,28,10,2,5,2,1,0,"Half Board",GBR,"Online TA",TA/TO,D,D,0,"No Deposit",241,Transient,95.27,0,3,Check-Out,2015-07-17,"Cody Smith",Smith.Cody@comcast.net,267-910-2501,************4136,2015-07-10,3,279
280,"Resort Hotel",0,34,2015,7,28,10,2,5,2,0,0,"Half Board",GBR,"Online TA",TA/TO,F,F,0,"No Deposit",241,Transient,108.83,0,1,Check-Out,2015-07-17,"Stephen Dickerson",Stephen_Dickerson@att.com,139-462-8029,************2092,2015-07-10,2,280
281,"Resort Hotel",1,100,2015,7,28,11,2,3,2,1,0,"Half Board",PRT,"Offline TA/TO",TA/TO,A,A,0,"No Deposit",149,Transient,153.96,0,0,Canceled,2015-05-29,"Kimberly Olson",Kimberly.Olson@xfinity.com,995-876-8158,************7967,2015-07-11,3,281
282,"Resort Hotel",0,44,2015,7,28,11,2,3,2,0,0,"Bed and Breakfass",ESP,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,120.6,0,0,Check-Out,2015-07-16,"Ashley Smith",Smith.Ashley45@gmail.com,762-466-8907,************1444,2015-07-11,2,282
283,"Resort Hotel",0,304,2015,7,28,11,2,4,2,0,1,"Bed and Breakfass",PRT,Direct,TA/TO,A,A,1,"No Deposit",240,Transient,90.67,0,1,Check-Out,2015-07-17,"Alec Johnson",Alec.Johnson67@yahoo.com,328-233-6698,************3622,2015-07-11,2,283
284,"Resort Hotel",1,36,2015,7,28,11,2,4,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,E,E,0,"No Deposit",240,Transient,126.67,0,0,Canceled,2015-08-06,"Jasmin Schultz",Jasmin.Schultz@outlook.com,880-452-9834,************8319,2015-07-11,2,284
285,"Resort Hotel",0,117,2015,7,28,11,2,4,3,0,0,"Half Board",PRT,"Offline TA/TO",TA/TO,D,D,0,"No Deposit",15,Transient,144.4,0,1,Check-Out,2015-07-17,"Henry Atkins",HAtkins@mail.com,789-073-1989,************3857,2015-07-11,3,285
286,"Resort Hotel",0,70,2015,7,28,11,2,4,2,0,0,"Bed and Breakfass",ESP,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,99.5,1,2,Check-Out,2015-07-17,"Stephen Banks",Stephen.B83@gmail.com,810-088-3060,************5829,2015-07-11,2,286
287,"Resort Hotel",0,110,2015,7,28,11,2,5,2,0,0,"Bed and Breakfass",PRT,Direct,Direct,E,E,0,"No Deposit",250,Transient,139.4,0,1,Check-Out,2015-07-18,"Ashley Vasquez",Ashley_Vasquez@yandex.com,354-402-0741,************9359,2015-07-11,2,287
288,"Resort Hotel",1,109,2015,7,28,11,2,5,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,73.8,0,1,Canceled,2015-04-22,"Michael Cline",Michael.C@mail.com,549-770-1668,************4140,2015-07-11,2,288
289,"Resort Hotel",0,33,2015,7,28,11,2,2,2,0,0,"Bed and Breakfass",GBR,"Online TA",TA/TO,E,E,0,"No Deposit",241,Transient,89.97,0,1,Check-Out,2015-07-15,"Craig Oconnor",Oconnor_Craig@verizon.com,954-933-8330,************6956,2015-07-11,2,289
290,"Resort Hotel",0,33,2015,7,28,11,2,2,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,E,E,0,"No Deposit",240,Transient,123,0,0,Check-Out,2015-07-15,"Michael Johnson",Michael.Johnson@outlook.com,122-626-4644,************7241,2015-07-11,2,290
291,"Resort Hotel",0,33,2015,7,28,11,2,2,2,0,0,"Bed and Breakfass",CZE,"Online TA",TA/TO,E,E,1,"No Deposit",240,Transient,123,0,0,Check-Out,2015-07-15,"James Jacobs",JJacobs70@hotmail.com,409-257-4183,************6248,2015-07-11,2,291
292,"Resort Hotel",0,0,2015,7,28,11,0,1,1,0,0,"Bed and Breakfass",GBR,Direct,Direct,A,A,0,"No Deposit",0,Transient,123,0,0,Check-Out,2015-12-07,"Zachary Kelly",Zachary_Kelly@yandex.com,812-444-6462,************4187,2015-07-11,1,292
293,"Resort Hotel",0,0,2015,7,28,11,0,1,2,0,0,"Half Board",DEU,"Online TA",TA/TO,A,A,1,"No Deposit",240,Transient,144.9,0,1,Check-Out,2015-12-07,"Raymond Hawkins",Raymond_Hawkins@verizon.com,461-154-1148,************4807,2015-07-11,2,293
294,"Resort Hotel",0,0,2015,7,28,11,0,1,2,0,0,"Bed and Breakfass",ESP,Direct,Direct,G,G,0,"No Deposit",0,Transient,153,0,0,Check-Out,2015-12-07,"Phillip Allen",Phillip_A@att.com,617-143-2263,************3693,2015-07-11,2,294
295,"Resort Hotel",0,0,2015,7,28,11,0,1,2,0,0,"Bed and Breakfass",ESP,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,131,0,1,Check-Out,2015-12-07,"Adam Day",AdamDay@mail.com,241-688-1550,************6428,2015-07-11,2,295
296,"Resort Hotel",0,84,2015,7,28,11,1,1,2,0,0,"Half Board",PRT,Corporate,Corporate,A,A,0,"No Deposit",0,Transient,100,1,0,Check-Out,2015-07-13,"Lisa Morgan",LMorgan@hotmail.com,645-017-6780,************3449,2015-07-11,2,296
297,"Resort Hotel",0,71,2015,7,28,11,1,1,2,0,0,"Bed and Breakfass",ESP,"Offline TA/TO",TA/TO,A,A,0,"No Deposit",175,Transient,65.5,0,0,Check-Out,2015-07-13,"Brian Williams",Williams.Brian@comcast.net,860-802-1878,************4307,2015-07-11,2,297
298,"Resort Hotel",0,16,2015,7,28,11,1,1,2,0,0,"Bed and Breakfass",ROU,"Online TA",TA/TO,C,C,0,"No Deposit",242,Transient,123,0,1,Check-Out,2015-07-13,"Dr. Stephanie Martinez",Dr._Martinez@hotmail.com,944-834-8960,************3751,2015-07-11,2,298
299,"Resort Hotel",0,54,2015,7,28,11,2,1,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,E,F,0,"No Deposit",240,Transient,123,0,0,Check-Out,2015-07-14,"James Bentley",James_Bentley@xfinity.com,774-521-8062,************5020,2015-07-11,2,299
300,"Resort Hotel",0,8,2015,7,28,11,2,1,2,0,0,"Bed and Breakfass",ESP,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,131,0,0,Check-Out,2015-07-14,"Jessica Day",Jessica.Day@yahoo.com,955-149-9915,************8897,2015-07-11,2,300
301,"Resort Hotel",0,36,2015,7,28,11,2,5,2,0,0,"Bed and Breakfass",PRT,"Offline TA/TO",TA/TO,D,D,0,"No Deposit",5,Transient,104.68,1,0,Check-Out,2015-07-18,"Douglas Cordova MD",Douglas.MD@protonmail.com,159-873-7113,************2581,2015-07-11,2,301
302,"Resort Hotel",0,40,2015,7,28,11,2,5,2,0,0,"Half Board",PRT,"Online TA",TA/TO,A,A,0,"No Deposit",242,Transient,166,0,0,Check-Out,2015-07-18,"Anthony Stein",Anthony_Stein43@comcast.net,929-530-7861,************5577,2015-07-11,2,302
303,"Resort Hotel",1,59,2015,7,28,11,2,6,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,D,D,0,"No Deposit",240,Transient,111.25,0,2,Canceled,2015-05-19,"Michael Reed",MReed19@protonmail.com,345-673-4058,************9309,2015-07-11,2,303
304,"Resort Hotel",0,79,2015,7,28,11,2,6,2,2,0,"Half Board",PRT,Direct,Direct,G,G,1,"No Deposit",250,Transient,213.75,0,0,Check-Out,2015-07-19,"Tina Andrews",Tina_Andrews@aol.com,158-054-6096,************8759,2015-07-11,4,304
305,"Resort Hotel",0,32,2015,7,28,11,4,6,2,0,0,"Half Board",PRT,"Online TA",TA/TO,E,E,1,"No Deposit",240,Transient,178,1,0,Check-Out,2015-07-21,"Peggy Woods",Woods_Peggy@mail.com,293-514-6149,************3253,2015-07-11,2,305
306,"Resort Hotel",0,110,2015,7,28,11,2,5,2,0,0,"Bed and Breakfass",PRT,Direct,Direct,A,A,0,"No Deposit",250,Transient,113.9,0,1,Check-Out,2015-07-18,"Lucas Davis",Davis.Lucas@mail.com,203-046-2797,************3971,2015-07-11,2,306
307,"Resort Hotel",0,33,2015,7,28,11,2,5,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,E,E,0,"No Deposit",240,Transient,129.29,1,0,Check-Out,2015-07-18,"Natasha Blankenship",NBlankenship@aol.com,776-972-7584,************1509,2015-07-11,2,307
308,"Resort Hotel",0,53,2015,7,29,12,1,0,2,2,0,"Bed and Breakfass",CN,"Online TA",TA/TO,G,G,0,"No Deposit",240,Transient,153,1,0,Check-Out,2015-07-13,"Allison Jimenez",Allison_J76@gmail.com,898-848-5580,************8095,2015-07-12,4,308
309,"Resort Hotel",0,2,2015,7,29,12,1,0,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,98,1,2,Check-Out,2015-07-13,"Tonya Taylor",TonyaTaylor81@outlook.com,709-065-1399,************3483,2015-07-12,2,309
310,"Resort Hotel",0,8,2015,7,29,12,2,4,2,1,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,169,1,2,Check-Out,2015-07-18,"Jennifer Higgins",Higgins.Jennifer@yandex.com,669-803-3888,************6969,2015-07-12,3,310
311,"Resort Hotel",1,72,2015,7,29,12,2,4,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,93,0,2,Canceled,2015-12-05,"Glenn Love",Love_Glenn33@zoho.com,185-118-9346,************4196,2015-07-12,2,311
312,"Resort Hotel",0,12,2015,7,29,12,2,5,2,0,0,"Bed and Breakfass",GBR,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,132.29,0,0,Check-Out,2015-07-19,"Joshua Salinas",Salinas.Joshua32@aol.com,292-065-4807,************1428,2015-07-12,2,312
313,"Resort Hotel",0,48,2015,7,29,12,2,5,2,0,0,"Bed and Breakfass",BRA,"Offline TA/TO",TA/TO,D,D,0,"No Deposit",243,Transient,123,0,1,Check-Out,2015-07-19,"Jennifer Allen",JAllen93@yahoo.com,599-009-6464,************1622,2015-07-12,2,313
314,"Resort Hotel",0,90,2015,7,29,12,2,5,2,0,0,"Full Board",PRT,"Offline TA/TO",TA/TO,A,A,0,"No Deposit",5,Transient-Party,117.22,0,1,Check-Out,2015-12-07,"Mary Daniels",Mary_D@comcast.net,356-149-7780,************9366,2015-07-12,2,314
315,"Resort Hotel",0,34,2015,7,29,12,2,5,2,0,1,"Half Board",ESP,"Offline TA/TO",TA/TO,D,D,1,"No Deposit",156,Transient,149,0,1,Check-Out,2015-07-19,"Katelyn Mendoza",Katelyn_Mendoza@outlook.com,856-983-3492,************2302,2015-07-12,2,315
316,"Resort Hotel",1,58,2015,7,29,12,2,5,3,1,0,"Bed and Breakfass",PRT,Direct,Direct,C,C,0,"No Deposit",250,Transient,164.57,0,1,Canceled,2015-06-29,"Derrick Snyder",Snyder_Derrick@outlook.com,661-734-9784,************9139,2015-07-12,4,316
317,"Resort Hotel",0,59,2015,7,29,12,2,5,2,0,0,"Bed and Breakfass",GBR,"Offline TA/TO",TA/TO,A,A,0,"No Deposit",115,Contract,107,0,0,Check-Out,2015-07-19,"Thomas Watkins",Thomas_Watkins52@yandex.com,382-722-2380,************2430,2015-07-12,2,317
318,"Resort Hotel",0,90,2015,7,29,12,2,5,2,0,1,"Full Board",PRT,"Offline TA/TO",TA/TO,A,A,0,"No Deposit",5,Transient-Party,117.22,1,2,Check-Out,2015-07-19,"Timothy Pierce",Pierce_Timothy86@verizon.com,912-002-7378,************3201,2015-07-12,2,318
319,"Resort Hotel",0,116,2015,7,29,12,2,5,2,0,0,"Bed and Breakfass",PRT,"Offline TA/TO",TA/TO,E,E,0,"No Deposit",40,Contract,119.25,0,0,Check-Out,2015-07-19,"Gregory Green",Gregory_Green32@comcast.net,191-347-7868,************7236,2015-07-12,2,319
